arm,seed,AUROC,AP,BCE,balanced_BCE
R0,11,0.576789538852821,0.05649531058568359,0.38238633110576387,4.3253265552438975
R0,23,0.5380129435037071,0.055846928043295885,0.4109678419985657,4.6491482280520975
R0,37,0.5494314674757751,0.052919996187339134,0.4082750326200272,4.617650939905996
R1,11,0.568314537179573,0.05507428921422003,0.37165142896176295,4.200710032136307
R1,23,0.5565520677628301,0.053881431506855704,0.4319371760733262,4.886856362313431
R1,37,0.5089621027894905,0.046052117570254895,0.4504103068014323,5.0954801576342
Rwide,11,0.6695028222118109,0.08979529662077465,0.26799592321179305,2.6955393176373805
Rwide,23,0.7239521748507091,0.1329231246742332,0.2946023866921381,1.9544774944208252
Rwide,37,0.6448484409045951,0.08790654335107573,0.40916032827058785,1.8398329598593957
