arm,method,scenario,clean_primary,D_p_p,D_p_q,D_q_p,D_q_q,R_p,R_q,K,both_positive_arithmetic
original_fit80_frozen_patient_seen,cdi_image_mean_fixed,U,False,-0.002964546375872068,0.0865316743586545,-0.01446726412071997,0.05255465778288171,0.011502717744847901,-0.03397701657577279,-0.022474298830924888,False
original_fit80_frozen_patient_seen,cdi_image_mean_tuned,U,False,0.0025902780324911223,0.008563332139232771,-0.006459695595567583,-0.011770632647995272,0.009049973628058705,-0.020333964787228043,-0.011283991159169338,False
original_fit80_frozen_patient_seen,cdi_image_max_fixed,U,False,0.025103688897930576,0.10716799264488375,0.0027548471308341815,0.018329818365227735,0.022348841767096395,-0.08883817427965601,-0.06648933251255962,False
original_fit80_frozen_patient_seen,cdi_image_max_tuned,U,False,0.008928846633422527,0.0262647760981064,-0.002897570202854305,-0.012507058111100866,0.011826416836276832,-0.03877183420920727,-0.026945417372930436,False
original_fit80_frozen_patient_seen,patient_mean26_fixed,U,False,0.005944965584626205,0.09381310779379626,-0.015740679132978053,0.01682280457488894,0.021685644717604258,-0.07699030321890732,-0.05530465850130306,False
original_fit80_frozen_patient_seen,patient_mean26_tuned,U,False,0.0033932962750348183,0.009729069581378869,-0.008647252501215119,-0.013653216411383284,0.012040548776249937,-0.023382285992762153,-0.011341737216512215,False
original_fit80_frozen_patient_seen,patient_meanmax52_fixed,U,False,0.04170787949166055,0.10590079717917233,-0.06800169632919817,0.1194821501482749,0.10970957582085872,0.013581352969102567,0.12329092878996128,True
original_fit80_frozen_patient_seen,patient_meanmax52_tuned,U,False,0.011916103820416524,0.0165073547033302,-0.016731436362103724,-0.0027940200039517915,0.028647540182520248,-0.019301374707281993,0.009346165475238255,False
original_fit80_frozen_patient_seen,dl_mean,U,False,0.016222000122070312,-0.0085296630859375,-0.0230255126953125,-0.011911392211914062,0.03924751281738281,-0.0033817291259765625,0.03586578369140625,False
original_fit80_frozen_patient_seen,dl_max,U,False,0.0224456787109375,-0.000263214111328125,-0.041046142578125,0.000591278076171875,0.0634918212890625,0.0008544921875,0.0643463134765625,True
original_fit80_frozen_patient_seen,secmi_mean,U,False,0.0009561814367771149,0.000557933934032917,3.762543201446533e-05,-0.00011244602501392365,0.0009185560047626495,-0.0006703799590468407,0.00024817604571580887,False
original_fit80_frozen_patient_seen,secmi_max,U,False,-2.2679567337036133e-05,-0.0002670884132385254,3.911927342414856e-05,-0.00016694515943527222,-6.179884076118469e-05,0.00010014325380325317,3.834441304206848e-05,False
original_fit80_frozen_patient_seen,pia_mean,U,False,0.011321783065795898,0.006437420845031738,-0.0003223419189453125,-0.005208134651184082,0.011644124984741211,-0.01164555549621582,-1.430511474609375e-06,False
original_fit80_frozen_patient_seen,pia_max,U,False,-0.0012683868408203125,-0.0012390613555908203,-0.005089521408081055,-0.0172576904296875,0.003821134567260742,-0.01601862907409668,-0.012197494506835938,False
original_fit80_frozen_patient_seen,pian_mean,U,False,0.13434648513793945,0.044087886810302734,0.03487586975097656,0.0482182502746582,0.09947061538696289,0.004130363464355469,0.10360097885131836,True
original_fit80_frozen_patient_seen,pian_max,U,False,0.09192562103271484,0.04388141632080078,0.042285919189453125,0.017128944396972656,0.04963970184326172,-0.026752471923828125,0.022887229919433594,False
original_fit80_frozen_patient_seen,patient_meanmax54_noobjective_fixed,U,False,0.05324314231053928,0.03321816151863799,-0.06489154360586813,0.06599121643751832,0.11813468591640741,0.03277305491888033,0.15090774083528774,True
original_fit80_frozen_patient_seen,patient_meanmax54_noobjective_tuned,U,False,0.015172134901200507,0.009658283593474981,-0.017318027814013703,-0.008731108542254229,0.03249016271521421,-0.01838939213572921,0.014100770579485,False
original_fit80_frozen_patient_seen,dino_existing,U,False,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,False
leave_patient_out79_refit,cdi_image_mean_fixed,U,True,-0.0034239516902790923,0.08270073038070047,-0.01716886464920353,0.053519051162710385,0.013744912958924438,-0.029181679217990086,-0.015436766259065648,False
leave_patient_out79_refit,cdi_image_mean_tuned,U,False,0.0028165697733275596,0.007402104672701304,-0.006741497753172787,-0.011381347867215008,0.009558067526500347,-0.018783452539916312,-0.009225385013415965,False
