model,method_order,method,method_label,fit_scenario,evaluation_scenario,selection_patient_AUC,CI95_low,CI95_high,selection_patients,selection_members,selection_nonmembers,fit_patient_AUC_descriptive_only
model_1,13,pia_mean,"PIA, mean",U,U,0.485,0.3099375,0.6675,40,20,20,0.526875
model_1,14,pia_max,"PIA, max",E,E,0.515,0.33,0.6925,40,20,20,0.5337500000000001
model_1,14,pia_max,"PIA, max",E,U,0.515,0.3274375,0.6975,40,20,20,0.5337500000000001
model_1,14,pia_max,"PIA, max",U,E,0.515,0.33,0.6925,40,20,20,0.5474999999999999
model_1,14,pia_max,"PIA, max",U,U,0.515,0.3274375,0.6975,40,20,20,0.5474999999999999
model_1,15,pian_mean,"PIAN, mean",E,E,0.53,0.34493749999999995,0.7125,40,20,20,0.479375
model_1,15,pian_mean,"PIAN, mean",E,U,0.44999999999999996,0.27,0.6325,40,20,20,0.479375
model_1,15,pian_mean,"PIAN, mean",U,E,0.53,0.34493749999999995,0.7125,40,20,20,0.49750000000000005
model_1,15,pian_mean,"PIAN, mean",U,U,0.44999999999999996,0.27,0.6325,40,20,20,0.49750000000000005
model_1,16,pian_max,"PIAN, max",E,E,0.5825,0.40993749999999995,0.755,40,20,20,0.48437500000000006
model_1,16,pian_max,"PIAN, max",E,U,0.46749999999999997,0.2775,0.6525,40,20,20,0.48437500000000006
model_1,16,pian_max,"PIAN, max",U,E,0.5825,0.40993749999999995,0.755,40,20,20,0.515625
model_1,16,pian_max,"PIAN, max",U,U,0.46749999999999997,0.2775,0.6525,40,20,20,0.515625
model_1,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),E,E,0.5625,0.3774375,0.7325624999999997,40,20,20,0.9381250000000001
model_1,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),E,U,0.36250000000000004,0.1975,0.54,40,20,20,0.9381250000000001
model_1,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),U,E,0.505,0.32,0.68,40,20,20,0.9606250000000001
model_1,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),U,U,0.615,0.44,0.78,40,20,20,0.9606250000000001
model_1,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),E,E,0.5075,0.325,0.6850624999999997,40,20,20,0.755
model_1,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),E,U,0.3675,0.21,0.5475,40,20,20,0.755
model_1,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),U,E,0.5625,0.38,0.7425,40,20,20,0.790625
model_1,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),U,U,0.515,0.3274375,0.6950624999999996,40,20,20,0.790625
model_2,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",E,E,0.615,0.435,0.7875624999999996,40,20,20,0.75625
model_2,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",E,U,0.48500000000000004,0.3125,0.6625,40,20,20,0.75625
model_2,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",U,E,0.49,0.31,0.6775624999999996,40,20,20,0.85875
model_2,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",U,U,0.5475000000000001,0.365,0.7225,40,20,20,0.85875
model_2,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",E,E,0.56,0.3775,0.76,40,20,20,0.67875
model_2,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",E,U,0.425,0.245,0.6050624999999996,40,20,20,0.67875
model_2,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",U,E,0.49,0.31,0.6775624999999996,40,20,20,0.85875
model_2,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",U,U,0.5475000000000001,0.365,0.7225,40,20,20,0.85875
model_2,3,cdi_image_max_fixed,"CDI image score, max (C=1)",E,E,0.63,0.445,0.795,40,20,20,0.7306250000000001
model_2,3,cdi_image_max_fixed,"CDI image score, max (C=1)",E,U,0.45500000000000007,0.2825,0.645,40,20,20,0.7306250000000001
model_2,3,cdi_image_max_fixed,"CDI image score, max (C=1)",U,E,0.5475,0.37,0.7375624999999997,40,20,20,0.8293750000000001
model_2,3,cdi_image_max_fixed,"CDI image score, max (C=1)",U,U,0.54,0.3525,0.7125,40,20,20,0.8293750000000001
model_2,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",E,E,0.6525000000000001,0.4775,0.8225,40,20,20,0.6756249999999999
model_2,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",E,U,0.4125,0.23,0.5876249999999993,40,20,20,0.6756249999999999
model_2,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",U,E,0.52,0.3375,0.7125,40,20,20,0.7181249999999999
model_2,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",U,U,0.4975,0.3125,0.6775,40,20,20,0.7181249999999999
model_2,5,patient_mean26_fixed,Patient mean26 LR (C=1),E,E,0.595,0.4075,0.7725,40,20,20,0.784375
model_2,5,patient_mean26_fixed,Patient mean26 LR (C=1),E,U,0.51,0.33,0.7025,40,20,20,0.784375
model_2,5,patient_mean26_fixed,Patient mean26 LR (C=1),U,E,0.5275000000000001,0.35,0.71,40,20,20,0.868125
model_2,5,patient_mean26_fixed,Patient mean26 LR (C=1),U,U,0.5825,0.4,0.7575624999999996,40,20,20,0.868125
model_2,6,patient_mean26_tuned,Patient mean26 LR (tuned C),E,E,0.5700000000000001,0.3875,0.7575,40,20,20,0.6625
model_2,6,patient_mean26_tuned,Patient mean26 LR (tuned C),E,U,0.4425,0.26,0.6275624999999996,40,20,20,0.6625
model_2,6,patient_mean26_tuned,Patient mean26 LR (tuned C),U,E,0.475,0.2925,0.6575,40,20,20,0.8312499999999999
model_2,6,patient_mean26_tuned,Patient mean26 LR (tuned C),U,U,0.5175000000000001,0.3325,0.695,40,20,20,0.8312499999999999
model_2,7,patient_meanmax52_fixed,Patient mean+max52 LR (C=1),E,E,0.6025,0.42,0.78,40,20,20,0.881875
model_2,7,patient_meanmax52_fixed,Patient mean+max52 LR (C=1),E,U,0.36,0.195,0.545,40,20,20,0.881875
model_2,7,patient_meanmax52_fixed,Patient mean+max52 LR (C=1),U,E,0.5075000000000001,0.325,0.695,40,20,20,0.9693750000000001
model_2,7,patient_meanmax52_fixed,Patient mean+max52 LR (C=1),U,U,0.6699999999999999,0.495,0.8300624999999996,40,20,20,0.9693750000000001
model_2,8,patient_meanmax52_tuned,Patient mean+max52 LR (tuned C),E,E,0.5425,0.3575,0.73,40,20,20,0.7062499999999999
model_2,8,patient_meanmax52_tuned,Patient mean+max52 LR (tuned C),E,U,0.37,0.2,0.5525,40,20,20,0.7062499999999999
model_2,8,patient_meanmax52_tuned,Patient mean+max52 LR (tuned C),U,E,0.49500000000000005,0.3249375,0.6775624999999996,40,20,20,0.895
model_2,8,patient_meanmax52_tuned,Patient mean+max52 LR (tuned C),U,U,0.6050000000000001,0.42,0.7875,40,20,20,0.895
model_2,9,dl_mean,"Denoising loss, mean",E,E,0.5675,0.3824375,0.7375,40,20,20,0.46687500000000004
model_2,9,dl_mean,"Denoising loss, mean",E,U,0.515,0.3349375,0.705,40,20,20,0.46687500000000004
model_2,9,dl_mean,"Denoising loss, mean",U,E,0.5675,0.3824375,0.7375,40,20,20,0.43875
model_2,9,dl_mean,"Denoising loss, mean",U,U,0.515,0.3349375,0.705,40,20,20,0.43875
model_2,10,dl_max,"Denoising loss, max",E,E,0.56,0.375,0.7375,40,20,20,0.47250000000000003
model_2,10,dl_max,"Denoising loss, max",E,U,0.455,0.2775,0.6425,40,20,20,0.47250000000000003
model_2,10,dl_max,"Denoising loss, max",U,E,0.56,0.375,0.7375,40,20,20,0.421875
model_2,10,dl_max,"Denoising loss, max",U,U,0.455,0.2775,0.6425,40,20,20,0.421875
model_2,11,secmi_mean,"SecMI, mean",E,E,0.5,0.302375,0.685,40,20,20,0.421875
model_2,11,secmi_mean,"SecMI, mean",E,U,0.5599999999999999,0.385,0.7375,40,20,20,0.421875
model_2,11,secmi_mean,"SecMI, mean",U,E,0.5,0.302375,0.685,40,20,20,0.490625
model_2,11,secmi_mean,"SecMI, mean",U,U,0.5599999999999999,0.385,0.7375,40,20,20,0.490625
model_2,12,secmi_max,"SecMI, max",E,E,0.45499999999999996,0.2799375,0.6325,40,20,20,0.459375
model_2,12,secmi_max,"SecMI, max",E,U,0.5275000000000001,0.35,0.7175624999999997,40,20,20,0.459375
model_2,12,secmi_max,"SecMI, max",U,E,0.45499999999999996,0.2799375,0.6325,40,20,20,0.5106250000000001
model_2,12,secmi_max,"SecMI, max",U,U,0.5275000000000001,0.35,0.7175624999999997,40,20,20,0.5106250000000001
model_2,13,pia_mean,"PIA, mean",E,E,0.5625,0.375,0.7425,40,20,20,0.441875
model_2,13,pia_mean,"PIA, mean",E,U,0.5325,0.345,0.7125,40,20,20,0.441875
model_2,13,pia_mean,"PIA, mean",U,E,0.5625,0.375,0.7425,40,20,20,0.4825
model_2,13,pia_mean,"PIA, mean",U,U,0.5325,0.345,0.7125,40,20,20,0.4825
model_2,14,pia_max,"PIA, max",E,E,0.4975,0.3175,0.6825,40,20,20,0.47125000000000006
model_2,14,pia_max,"PIA, max",E,U,0.495,0.3175,0.6800624999999997,40,20,20,0.47125000000000006
model_2,14,pia_max,"PIA, max",U,E,0.4975,0.3175,0.6825,40,20,20,0.45812500000000006
model_2,14,pia_max,"PIA, max",U,U,0.495,0.3175,0.6800624999999997,40,20,20,0.45812500000000006
model_2,15,pian_mean,"PIAN, mean",E,E,0.4675,0.2875,0.6575,40,20,20,0.5275000000000001
model_2,15,pian_mean,"PIAN, mean",E,U,0.5425,0.3625,0.7225,40,20,20,0.5275000000000001
model_2,15,pian_mean,"PIAN, mean",U,E,0.4675,0.2875,0.6575,40,20,20,0.545
model_2,15,pian_mean,"PIAN, mean",U,U,0.5425,0.3625,0.7225,40,20,20,0.545
model_2,16,pian_max,"PIAN, max",E,E,0.38249999999999995,0.2075,0.565,40,20,20,0.529375
model_2,16,pian_max,"PIAN, max",E,U,0.515,0.335,0.7075624999999997,40,20,20,0.529375
model_2,16,pian_max,"PIAN, max",U,E,0.38249999999999995,0.2075,0.565,40,20,20,0.5246875
model_2,16,pian_max,"PIAN, max",U,U,0.515,0.335,0.7075624999999997,40,20,20,0.5246875
model_2,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),E,E,0.6600000000000001,0.48493749999999997,0.8225624999999996,40,20,20,0.913125
model_2,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),E,U,0.315,0.1599375,0.4925,40,20,20,0.913125
model_2,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),U,E,0.5325,0.35,0.7125624999999997,40,20,20,0.97125
model_2,17,patient_meanmax54_noobjective_fixed,NO27 diagnostic: mean+max54 (C=1),U,U,0.6950000000000001,0.525,0.855,40,20,20,0.97125
model_2,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),E,E,0.53,0.345,0.7175,40,20,20,0.7312500000000001
model_2,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),E,U,0.40249999999999997,0.225,0.585,40,20,20,0.7312500000000001
model_2,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),U,E,0.485,0.3149375,0.675,40,20,20,0.90875
model_2,18,patient_meanmax54_noobjective_tuned,NO27 diagnostic: mean+max54 (tuned C),U,U,0.6475000000000001,0.4624375,0.825,40,20,20,0.90875
