contrast_type,model,contrast_id,role,a_method,a_fit_scenario,a_evaluation_scenario,b_method,b_fit_scenario,b_evaluation_scenario,selection_delta_AUC,paired_CI95_low,paired_CI95_high
within_cell_contrasts,model_1,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,U,E,secmi_mean,U,E,0.06500000000000006,-0.21499999999999997,0.3225
within_cell_contrasts,model_1,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,U,E,patient_meanmax52_fixed,U,E,0.0,-0.03499999999999992,0.030000000000000027
within_cell_contrasts,model_1,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,U,E,patient_meanmax52_tuned,U,E,0.0024999999999999467,-0.02749999999999997,0.02999999999999997
within_cell_contrasts,model_2,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,U,E,cdi_image_mean_tuned,U,E,0.00500000000000006,-0.14250000000000002,0.15249999999999997
within_cell_contrasts,model_2,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,U,E,secmi_mean,U,E,-0.010000000000000009,-0.26506250000000003,0.25999999999999995
within_cell_contrasts,model_2,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,U,E,cdi_image_mean_fixed,U,E,0.01750000000000007,-0.14,0.185
within_cell_contrasts,model_2,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,U,E,secmi_mean,U,E,-0.010000000000000009,-0.26506250000000003,0.25999999999999995
within_cell_contrasts,model_2,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,U,E,patient_meanmax52_fixed,U,E,0.02499999999999991,-0.065,0.11750000000000005
within_cell_contrasts,model_2,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,U,E,patient_meanmax52_tuned,U,E,-0.010000000000000064,-0.10006250000000003,0.08000000000000007
within_cell_contrasts,model_1,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,U,U,cdi_image_mean_tuned,U,U,0.08250000000000007,-0.012562500000000006,0.18250000000000005
within_cell_contrasts,model_1,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,U,U,secmi_mean,U,U,0.004999999999999949,-0.2375,0.245
within_cell_contrasts,model_1,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,U,U,cdi_image_mean_fixed,U,U,0.18499999999999994,0.029937499999999975,0.35250000000000004
within_cell_contrasts,model_1,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,U,U,secmi_mean,U,U,0.01749999999999996,-0.2226875,0.25506249999999964
within_cell_contrasts,model_1,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,U,U,patient_meanmax52_fixed,U,U,-0.01749999999999996,-0.06499999999999995,0.025000000000000022
within_cell_contrasts,model_1,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,U,U,patient_meanmax52_tuned,U,U,-0.0025000000000000577,-0.034999999999999976,0.030000000000000027
within_cell_contrasts,model_2,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,U,U,cdi_image_mean_tuned,U,U,0.057499999999999996,-0.07500000000000007,0.1975
within_cell_contrasts,model_2,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,U,U,secmi_mean,U,U,-0.012499999999999845,-0.2725,0.2250624999999997
within_cell_contrasts,model_2,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,U,U,cdi_image_mean_fixed,U,U,0.12249999999999983,0.0,0.25749999999999995
within_cell_contrasts,model_2,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,U,U,secmi_mean,U,U,-0.012499999999999845,-0.2725,0.2250624999999997
within_cell_contrasts,model_2,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,U,U,patient_meanmax52_fixed,U,U,0.025000000000000133,-0.04749999999999999,0.09499999999999997
within_cell_contrasts,model_2,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,U,U,patient_meanmax52_tuned,U,U,0.04249999999999998,-0.015000000000000013,0.11250000000000004
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_mean_fixed,E,U,cdi_image_mean_fixed,E,E,-0.03749999999999998,-0.28256250000000005,0.22749999999999998
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_mean_fixed,U,U,cdi_image_mean_fixed,E,U,-0.08499999999999996,-0.2925625,0.10999999999999999
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_mean_fixed,E,E,cdi_image_mean_fixed,U,E,-0.01750000000000007,-0.28756250000000005,0.25250000000000006
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_mean_tuned,E,U,cdi_image_mean_tuned,E,E,-0.19000000000000006,-0.44749999999999995,0.06250000000000006
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_mean_tuned,U,U,cdi_image_mean_tuned,E,U,0.012500000000000011,-0.21499999999999997,0.225
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_mean_tuned,E,E,cdi_image_mean_tuned,U,E,0.05499999999999994,-0.2024999999999999,0.3175
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_max_fixed,E,U,cdi_image_max_fixed,E,E,0.0025000000000000577,-0.24006249999999998,0.2475624999999997
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_max_fixed,U,U,cdi_image_max_fixed,E,U,-0.12000000000000005,-0.32762500000000006,0.08499999999999996
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_max_fixed,E,E,cdi_image_max_fixed,U,E,-0.04249999999999998,-0.305,0.21499999999999997
