family,method,budget,clipped_mse,mc_se,actual_mean_cost,cost_mc_se,calibration_mean_cost
F1_exact_discrete_outside,fixed_R1,,0.001247661122155325,1.6941175956635883e-21,1.0,0.0,1
F1_exact_discrete_outside,fixed_R2,,0.0006381469850867691,4.872541388472324e-06,2.0,0.0,2
F1_exact_discrete_outside,fixed_R4,,0.0003144388925812908,2.9932027507234716e-06,4.0,0.0,4
F1_exact_discrete_outside,fixed_R8,,0.0001552108918312495,1.6076923752941045e-06,8.0,0.0,8
F1_exact_discrete_outside,fixed_R16,,7.817890229258782e-05,8.265259989574831e-07,16.0,0.0,16
F1_exact_discrete_outside,raw_B4,4,0.001247661122155325,1.6941175956635883e-21,3.761810302734375,0.005858827279641952,3.76300048828125
F1_exact_discrete_outside,matched_fixed_for_raw_B4,4,0.0003522592823745514,3.3747328119717435e-06,3.76483154296875,0.003543773754598367,3.76300048828125
F1_exact_discrete_outside,geometry_B4,4,0.0007785655078633845,4.221304065512952e-06,3.753662109375,0.0058594839703790215,3.74725341796875
F1_exact_discrete_outside,matched_fixed_for_geometry_B4,4,0.0003530387887441739,3.3848300989035083e-06,3.7459716796875,0.0036990317598732743,3.74725341796875
F1_exact_discrete_outside,oracle_free_B4,4,0.00019694910839886576,2.136941768276914e-06,3.9962158203125,0.006783013293849543,4.0
F1_exact_discrete_outside,oracle_charged_B4,4,0.00047881428332427494,4.24756986325913e-06,3.99755859375,0.003906322646919347,4.0
F1_exact_discrete_outside,raw_B8,8,0.0007785655078633845,4.221304065512952e-06,7.562713623046875,0.029862034002451462,7.562255859375
F1_exact_discrete_outside,matched_fixed_for_raw_B8,8,0.00017180484432077837,1.8479672632852765e-06,7.5626220703125,0.006915725830605316,7.562255859375
F1_exact_discrete_outside,geometry_B8,8,0.0006603593138979461,4.6048236323192955e-06,6.768310546875,0.029297419851895108,6.73626708984375
F1_exact_discrete_outside,matched_fixed_for_geometry_B8,8,0.00020617511865019049,2.225471327220977e-06,6.7347412109375,0.010259882678032729,6.73626708984375
F1_exact_discrete_outside,oracle_free_B8,8,8.771420503556929e-05,9.674406558991223e-07,8.013671875,0.010212888220798971,8.0
F1_exact_discrete_outside,oracle_charged_B8,8,0.00012581892471629158,1.4010931303695095e-06,7.9833984375,0.015095219202695444,8.0
F1_exact_discrete_outside,raw_B16,16,0.0006603593138979461,4.6048236323192955e-06,10.577362060546875,0.04138587576133602,10.55126953125
F1_exact_discrete_outside,matched_fixed_for_raw_B16,16,0.00013121469154360623,1.4345278091349626e-06,10.569091796875,0.020648002408531204,10.55126953125
F1_exact_discrete_outside,geometry_B16,16,0.0006603593138979461,4.6048236323192955e-06,6.768310546875,0.029297419851895108,6.73626708984375
F1_exact_discrete_outside,matched_fixed_for_geometry_B16,16,0.0002035008197195931,2.189775129537655e-06,6.7293701171875,0.010241136404559615,6.73626708984375
F1_exact_discrete_outside,oracle_free_B16,16,7.817890229258782e-05,8.265259989574831e-07,8.5,0.0,8.5
F1_exact_discrete_outside,oracle_charged_B16,16,7.817890229258782e-05,8.265259989574831e-07,10.5,0.0,10.5
F2_gaussian_outside_heterogeneous,fixed_R1,,0.0019580539030358366,7.239718448431593e-05,1.0,0.0,1
F2_gaussian_outside_heterogeneous,fixed_R2,,0.0006474061877316647,6.200650741371997e-06,2.0,0.0,2
F2_gaussian_outside_heterogeneous,fixed_R4,,0.0003122728569419184,6.267801145536986e-07,4.0,0.0,4
F2_gaussian_outside_heterogeneous,fixed_R8,,0.00015627954222090248,3.131852623540815e-07,8.0,0.0,8
F2_gaussian_outside_heterogeneous,fixed_R16,,7.829044059835249e-05,1.5659228410745034e-07,16.0,0.0,16
F2_gaussian_outside_heterogeneous,raw_B4,4,0.0015236970351428735,4.6236435101549844e-05,4.031768798828125,0.00877474059702824,4.0
F2_gaussian_outside_heterogeneous,matched_fixed_for_raw_B4,4,0.0003122728569419184,6.267801145536986e-07,4.0,0.0,4.0
F2_gaussian_outside_heterogeneous,geometry_B4,4,0.0015171242312571182,6.9388542349942e-05,4.044708251953125,0.01745984184996221,4.0
F2_gaussian_outside_heterogeneous,matched_fixed_for_geometry_B4,4,0.0003122728569419184,6.267801145536986e-07,4.0,0.0,4.0
F2_gaussian_outside_heterogeneous,oracle_free_B4,4,0.00025717511784883974,6.130484532200886e-06,4.00390625,0.007812678822802363,4.0
F2_gaussian_outside_heterogeneous,oracle_charged_B4,4,0.0006474061877316647,6.200650741371997e-06,4.0,0.0,4.0
F2_gaussian_outside_heterogeneous,raw_B8,8,0.0006111711467596507,2.943613721190891e-05,8.042449951171875,0.022624960442044838,7.99981689453125
F2_gaussian_outside_heterogeneous,matched_fixed_for_raw_B8,8,0.00015628567520247443,3.1318321583464347e-07,7.9993896484375,0.0002729241927072645,7.99981689453125
F2_gaussian_outside_heterogeneous,geometry_B8,8,0.0007892720910700356,6.931850119763345e-05,8.014678955078125,0.021530475980172586,7.9996337890625
F2_gaussian_outside_heterogeneous,matched_fixed_for_geometry_B8,8,0.00015629287309752718,3.1345413891525353e-07,7.9993896484375,0.0002729241927072645,7.9996337890625
F2_gaussian_outside_heterogeneous,oracle_free_B8,8,0.00012077468755750902,6.091014477575639e-06,8.000244140625,0.013530958485021267,8.0
F2_gaussian_outside_heterogeneous,oracle_charged_B8,8,0.00015978403368391663,6.094731935794127e-06,7.9912109375,0.013492182221611302,8.0
F2_gaussian_outside_heterogeneous,raw_B16,16,0.00013117701899659014,1.2452340005110592e-05,16.004150390625,0.020986149547920944,16.0
F2_gaussian_outside_heterogeneous,matched_fixed_for_raw_B16,16,7.829044059835249e-05,1.5659228410745034e-07,16.0,0.0,16.0
F2_gaussian_outside_heterogeneous,geometry_B16,16,0.000725750491741695,6.931908557338927e-05,11.272247314453125,0.017808055350344847,11.2269287109375
F2_gaussian_outside_heterogeneous,matched_fixed_for_geometry_B16,16,0.0001249707196901211,3.9651413860793156e-07,11.25732421875,0.021781504812523535,11.2269287109375
F2_gaussian_outside_heterogeneous,oracle_free_B16,16,7.829044059835249e-05,1.5659228410745034e-07,10.0,0.0,10.0
F2_gaussian_outside_heterogeneous,oracle_charged_B16,16,7.829044059835249e-05,1.5659228410745034e-07,12.0,0.0,12.0
F3_inside_heterogeneous,fixed_R1,,0.13008581184627835,0.00024950606380151315,1.0,0.0,1
F3_inside_heterogeneous,fixed_R2,,0.06523043489186736,0.00012458238791806552,2.0,0.0,2
F3_inside_heterogeneous,fixed_R4,,0.03249628584852036,6.163627079395806e-05,4.0,0.0,4
F3_inside_heterogeneous,fixed_R8,,0.016267390803278433,3.0956390968414313e-05,8.0,0.0,8
F3_inside_heterogeneous,fixed_R16,,0.008141234287737664,1.5555875198500355e-05,16.0,0.0,16
F3_inside_heterogeneous,raw_B4,4,0.05168625880579527,0.0001572749485539288,4.00982666015625,0.0039056147184703517,4.0
F3_inside_heterogeneous,matched_fixed_for_raw_B4,4,0.03249628584852036,6.163627079395806e-05,4.0,0.0,4.0
F3_inside_heterogeneous,geometry_B4,4,0.05168625880579527,0.0001572749485539288,4.00982666015625,0.0039056147184703517,4.0
F3_inside_heterogeneous,matched_fixed_for_geometry_B4,4,0.03249628584852036,6.163627079395806e-05,4.0,0.0,4.0
F3_inside_heterogeneous,oracle_free_B4,4,0.024543878681111013,6.728823889223313e-05,4.0025634765625,0.00675442732371194,4.0
