prompt_id,seed,score,best_rotation_deg,best_crop_box,bit_flip_applied,runtime_sec
5,500007,1.331432,0.000,"[0, 0, 512, 512]",false,0.904
5,500008,0.409011,0.000,"[0, 0, 512, 512]",false,0.905
5,500009,0.543586,0.000,"[0, 0, 512, 512]",false,0.905
5,500010,0.481873,0.000,"[0, 0, 512, 512]",false,0.905
5,500011,0.142642,0.000,"[0, 0, 512, 512]",false,0.905
5,500012,0.613689,0.000,"[0, 0, 512, 512]",false,0.905
5,500013,1.524155,0.000,"[0, 0, 512, 512]",false,0.905
5,500014,0.083959,0.000,"[0, 0, 512, 512]",false,0.904
5,500015,1.051948,0.000,"[0, 0, 512, 512]",false,0.905
5,500016,0.126318,0.000,"[0, 0, 512, 512]",false,0.904
5,500017,1.360792,0.000,"[0, 0, 512, 512]",false,0.904
5,500018,1.119790,0.000,"[0, 0, 512, 512]",false,0.906
5,500019,0.512846,0.000,"[0, 0, 512, 512]",false,0.906
6,600000,1.549630,0.000,"[0, 0, 512, 512]",false,0.905
6,600001,0.011454,0.000,"[0, 0, 512, 512]",false,0.905
6,600002,0.432511,0.000,"[0, 0, 512, 512]",false,0.904
6,600003,2.263005,0.000,"[0, 0, 512, 512]",false,0.904
6,600004,0.387553,0.000,"[0, 0, 512, 512]",false,0.904
6,600005,0.524775,0.000,"[0, 0, 512, 512]",false,0.904
6,600006,1.122118,0.000,"[0, 0, 512, 512]",false,0.903
6,600007,1.236849,0.000,"[0, 0, 512, 512]",false,0.904
6,600008,0.309551,0.000,"[0, 0, 512, 512]",false,0.903
6,600009,0.832341,0.000,"[0, 0, 512, 512]",false,0.904
6,600010,0.960573,0.000,"[0, 0, 512, 512]",false,0.903
6,600011,0.483086,0.000,"[0, 0, 512, 512]",false,0.904
6,600012,0.030669,0.000,"[0, 0, 512, 512]",false,0.903
6,600013,1.759737,0.000,"[0, 0, 512, 512]",false,0.904
6,600014,0.602847,0.000,"[0, 0, 512, 512]",false,0.904
6,600015,1.113562,0.000,"[0, 0, 512, 512]",false,0.905
6,600016,0.756504,0.000,"[0, 0, 512, 512]",false,0.900
6,600017,0.208277,0.000,"[0, 0, 512, 512]",false,0.904
6,600018,1.301950,0.000,"[0, 0, 512, 512]",false,0.903
6,600019,0.237541,0.000,"[0, 0, 512, 512]",false,0.904
7,700000,0.029462,0.000,"[0, 0, 512, 512]",false,0.905
7,700001,0.644302,0.000,"[0, 0, 512, 512]",false,0.903
7,700002,0.692346,0.000,"[0, 0, 512, 512]",false,0.904
7,700003,0.481945,0.000,"[0, 0, 512, 512]",false,0.903
7,700004,0.917667,0.000,"[0, 0, 512, 512]",false,0.900
7,700005,1.095932,0.000,"[0, 0, 512, 512]",false,0.905
7,700006,0.816409,0.000,"[0, 0, 512, 512]",false,0.904
7,700007,0.147096,0.000,"[0, 0, 512, 512]",false,0.902
7,700008,0.005673,0.000,"[0, 0, 512, 512]",false,0.903
7,700009,0.218510,0.000,"[0, 0, 512, 512]",false,0.904
7,700010,0.512139,0.000,"[0, 0, 512, 512]",false,0.905
7,700011,0.310999,0.000,"[0, 0, 512, 512]",false,0.904
7,700012,2.185156,0.000,"[0, 0, 512, 512]",false,0.905
7,700013,0.958574,0.000,"[0, 0, 512, 512]",false,0.905
7,700014,1.814594,0.000,"[0, 0, 512, 512]",false,0.905
7,700015,0.893229,0.000,"[0, 0, 512, 512]",false,0.905
7,700016,0.149905,0.000,"[0, 0, 512, 512]",false,0.905
7,700017,0.207128,0.000,"[0, 0, 512, 512]",false,0.904
7,700018,0.590765,0.000,"[0, 0, 512, 512]",false,0.905
7,700019,1.690958,0.000,"[0, 0, 512, 512]",false,0.904
8,800000,0.742398,0.000,"[0, 0, 512, 512]",false,0.905
