prompt_id,seed,score,best_rotation_deg,best_crop_box,bit_flip_applied,runtime_sec
4,400010,1.756446,0.000,"[0, 0, 512, 512]",false,9.037
4,400011,0.120201,0.000,"[0, 0, 512, 512]",false,9.040
4,400012,0.664008,0.000,"[0, 0, 512, 512]",false,9.037
4,400013,0.494804,0.000,"[0, 0, 512, 512]",false,9.044
4,400014,0.736245,0.000,"[0, 0, 512, 512]",false,9.052
4,400015,0.004597,0.000,"[0, 0, 512, 512]",false,9.054
4,400016,0.933899,0.000,"[0, 0, 512, 512]",false,9.051
4,400017,0.705666,0.000,"[0, 0, 512, 512]",false,9.055
4,400018,0.549273,0.000,"[0, 0, 512, 512]",false,9.058
4,400019,0.119171,0.000,"[0, 0, 512, 512]",false,9.082
5,500000,1.458371,0.000,"[0, 0, 512, 512]",false,9.089
5,500001,1.086292,0.000,"[0, 0, 512, 512]",false,9.090
5,500002,0.849693,0.000,"[0, 0, 512, 512]",false,9.086
5,500003,0.956396,0.000,"[0, 0, 512, 512]",false,9.087
5,500004,0.100192,0.000,"[0, 0, 512, 512]",false,9.087
5,500005,1.021700,0.000,"[0, 0, 512, 512]",false,9.083
5,500006,0.664709,0.000,"[0, 0, 512, 512]",false,9.086
5,500007,1.331432,0.000,"[0, 0, 512, 512]",false,9.084
5,500008,0.409011,0.000,"[0, 0, 512, 512]",false,9.088
5,500009,0.543586,0.000,"[0, 0, 512, 512]",false,9.089
5,500010,0.481873,0.000,"[0, 0, 512, 512]",false,9.080
5,500011,0.142642,0.000,"[0, 0, 512, 512]",false,9.085
5,500012,0.613689,0.000,"[0, 0, 512, 512]",false,9.079
5,500013,1.524155,0.000,"[0, 0, 512, 512]",false,9.085
5,500014,0.083959,0.000,"[0, 0, 512, 512]",false,9.084
5,500015,1.051948,0.000,"[0, 0, 512, 512]",false,9.087
5,500016,0.126318,0.000,"[0, 0, 512, 512]",false,9.086
5,500017,1.360792,0.000,"[0, 0, 512, 512]",false,9.084
5,500018,1.119790,0.000,"[0, 0, 512, 512]",false,9.087
5,500019,0.512846,0.000,"[0, 0, 512, 512]",false,9.082
6,600000,1.549630,0.000,"[0, 0, 512, 512]",false,9.089
6,600001,0.011454,0.000,"[0, 0, 512, 512]",false,9.083
6,600002,0.432511,0.000,"[0, 0, 512, 512]",false,9.075
